design,n,d,phi,dispersion,method,n_rep,w2_ratio_mean,w2_ratio_se,cov_ratio_mean,cov_ratio_se,mean_ratio_mean,mean_ratio_se,min_pred_eig
Baseline,320,8,0.7,0.35,bwar_barycenter,50,0.8870584620688708,0.0020954551773558227,0.8870952265112042,0.0020975567700372683,0.853489801742183,0.0038447352007510136,0.09284400455090917
Baseline,320,8,0.7,0.35,cholesky_gaussian_ar,50,1.0099587310025882,0.006368942628390269,1.0101284240296682,0.006377189937496418,0.8532974301968623,0.0038493824998737693,0.0654403433300955
Baseline,320,8,0.7,0.35,euclidean_gaussian_ar,50,0.9740340522662204,0.003884352772111233,0.974163387809101,0.003888499443701546,0.8550150199133912,0.004546035039007291,0.00899834424815529
Baseline,320,8,0.7,0.35,log_euclidean_gaussian_ar,50,0.9702530312474222,0.0044744845219798135,0.9703783036039765,0.004479140218394096,0.8532974301968623,0.0038493824998737693,0.07880569627430797
Baseline,320,8,0.7,0.35,persistence,50,1.0,0.0,1.0,0.0,1.0,0.0,0.04999999999999517
Cholesky mechanism,320,8,0.7,0.35,bwar_barycenter,50,0.8610500233154715,0.0023147281162735458,0.8610694272116065,0.0023191863241887136,0.8539428291331977,0.004022160955288861,0.1167225480045974
Cholesky mechanism,320,8,0.7,0.35,cholesky_gaussian_ar,50,0.8754641205339928,0.00337017936331985,0.8755208338275945,0.003379012743870967,0.8532974301968623,0.0038493824998737706,0.0723401752817152
Cholesky mechanism,320,8,0.7,0.35,euclidean_gaussian_ar,50,0.9022684855670413,0.0034172046532673136,0.9023803095354601,0.0034221117116590284,0.8567707906052275,0.0046214646818163105,0.1525310874312611
Cholesky mechanism,320,8,0.7,0.35,log_euclidean_gaussian_ar,50,0.8812548021932993,0.003910029429451608,0.8813230791202794,0.003919125976019605,0.8532974301968623,0.0038493824998737706,0.090394942911397
Cholesky mechanism,320,8,0.7,0.35,persistence,50,1.0,0.0,1.0,0.0,1.0,0.0,0.049999999999998
Higher dimension,320,10,0.7,0.32,bwar_barycenter,50,0.890670155555447,0.0018157817855047967,0.8907205067201233,0.0018167614676926846,0.8479934510457012,0.003127550574882771,0.10160493394413787
Higher dimension,320,10,0.7,0.32,cholesky_gaussian_ar,50,1.0180785213374535,0.004164637676999593,1.0182772618256657,0.004168252244112251,0.8479934510457012,0.0031275505748827653,0.06476042042178945
Higher dimension,320,10,0.7,0.32,euclidean_gaussian_ar,50,0.982415980890059,0.0030446006507092505,0.9825739965461773,0.003048035382302616,0.8479601968129847,0.003133878755322491,9.999999544587105e-09
Higher dimension,320,10,0.7,0.32,log_euclidean_gaussian_ar,50,0.9669086524119124,0.0035189953656953447,0.9670474562569181,0.003521181995975473,0.8479934510457012,0.0031275505748827653,0.07990206187238313
Higher dimension,320,10,0.7,0.32,persistence,50,1.0,0.0,1.0,0.0,1.0,0.0,0.04999999999999494
